x-coordinate,y-coordinate,Similarity_score
155,141,0.75
155,169,0.75
155,97,0.555555556
155,83,0.75
155,196,0.75
155,68,0.75
155,182,0.555555556
155,6,0.75
155,54,0.75
155,40,0.75
155,41,0.75
155,7,0.75
155,55,0.75
155,183,0.555555556
155,197,0.555555556
155,69,0.75
155,82,0.555555556
155,168,0.555555556
155,96,0.272727273
155,140,0.555555556
155,154,0.75
155,208,0.555555556
155,142,0.75
155,156,0.75
155,80,0.75
155,94,0.555555556
155,181,0.555555556
155,195,0.75
155,43,0.75
155,57,0.75
155,5,0.555555556
155,56,0.75
155,4,0.555555556
155,42,0.75
155,194,0.555555556
155,180,0.75
155,95,0.75
155,81,0.555555556
155,157,0.555555556
155,143,0.75
155,209,0.75
155,85,0.75
155,91,0.555555556
155,147,0.75
155,153,0.75
155,46,0.4
155,52,0.555555556
155,184,0.75
155,190,0.555555556
155,191,0.555555556
155,185,0.75
155,1,0.75
155,53,0.75
155,47,0.75
155,152,0.75
155,146,0.555555556
155,90,0.555555556
155,84,0.75
155,92,0.75
155,178,0.555555556
155,86,0.75
155,150,0.555555556
155,144,0.555555556
155,51,0.555555556
155,3,0.75
155,45,0.75
155,193,0.555555556
155,187,0.555555556
155,79,0.555555556
155,186,0.75
155,78,0.555555556
155,192,0.75
155,44,0.75
155,50,0.555555556
155,2,0.555555556
155,145,0.555555556
155,151,0.75
155,179,0.272727273
155,87,0.555555556
155,93,0.75
155,136,0.555555556
155,122,0.75
155,37,0.555555556
155,23,0.555555556
155,22,0.555555556
155,36,0.555555556
155,123,0.75
155,137,0.555555556
155,121,0.75
155,135,0.272727273
155,109,0.75
155,20,0.555555556
155,34,0.75
155,35,0.555555556
155,21,0.4
155,108,0.555555556
155,134,0.75
155,120,0.75
155,118,0.75
155,124,0.555555556
155,130,0.75
155,25,0.555555556
155,31,0.555555556
155,19,0.75
155,18,0.555555556
155,30,0.555555556
155,24,0.75
155,131,0.75
155,125,0.555555556
155,119,0.555555556
155,133,0.555555556
155,127,0.75
155,32,0.555555556
155,26,0.75
155,27,0.75
155,33,0.75
155,126,0.75
155,132,0.555555556
155,117,0.75
155,103,0.75
155,16,0.555555556
155,17,0.555555556
155,102,0.555555556
155,116,0.75
155,100,0.75
155,114,0.75
155,128,0.75
155,29,0.555555556
155,15,0.555555556
155,14,0.75
155,28,0.75
155,129,0.555555556
155,115,0.75
155,101,0.75
155,139,0.75
155,105,0.75
155,111,0.75
155,10,0.75
155,38,0.75
155,39,0.555555556
155,11,0.555555556
155,110,0.555555556
155,104,0.272727273
155,138,0.555555556
155,112,0.555555556
155,106,0.555555556
155,13,0.75
155,12,0.555555556
155,107,0.555555556
155,113,0.555555556
155,202,0.555555556
155,174,0.75
155,160,0.75
155,148,0.555555556
155,49,0.555555556
155,75,0.75
155,61,0.555555556
155,60,0.555555556
155,74,0.555555556
155,48,0.75
155,149,0.75
155,161,0.75
155,175,0.75
155,203,0.75
155,201,0.75
155,163,0.75
155,89,0.75
155,177,0.75
155,62,0.555555556
155,76,0.555555556
155,188,0.555555556
155,77,0.75
155,189,0.75
155,63,0.555555556
155,88,0.75
155,176,0.75
155,162,0.555555556
155,200,0.555555556
155,214,0.555555556
155,210,0.75
155,204,0.75
155,98,0.75
155,166,0.75
155,172,0.75
155,67,0.75
155,199,0.555555556
155,73,0.75
155,9,0.75
155,8,0.75
155,72,0.75
155,66,0.75
155,198,0.555555556
155,173,0.75
155,99,0.555555556
155,167,0.555555556
155,205,0.555555556
155,211,0.75
155,207,0.555555556
155,213,0.555555556
155,159,0.75
155,171,0.75
155,165,0.75
