Search query: Jessica M. Esparza
Year,Count
2016,2
2015,1
2013,1
2009,1
2005,1
Search query: Yan Zhang
Year,Count
2022,346
2021,1668
2020,1517
2019,1249
2018,1104
2017,1001
2016,925
2015,848
2014,762
2013,628
2012,556
2011,505
2010,392
2009,339
2008,286
2007,221
2006,173
2005,158
2004,91
2003,75
2002,77
1999,1
1995,1
Search query: Chao-Bin Yeh
Year,Count
2022,1
2021,8
2020,5
2019,9
2018,9
2017,13
2016,6
2015,7
2014,6
2013,6
2012,6
2011,3
2010,2
Search query: Zhongpu Chen
Year,Count
2021,2
2020,3
2019,3
2018,5
2017,1
2016,1
2014,1
2013,4
Search query: Akrem Abdulsid
Year,Count
2018,1
2014,2
2013,4
Search query: Fang Liu
Year,Count
2022,114
2021,631
2020,547
2019,466
2018,441
2017,380
2016,352
2015,370
2014,287
2013,239
2012,219
2011,190
2010,143
2009,114
2008,108
2007,73
2006,75
2005,76
2004,53
2003,36
2002,22
1997,1
1996,2
Search query: Jagannath Misra
Year,Count
2022,1
2021,2
2019,1
2017,1
2016,1
2014,1
2013,2
2011,1
Search query: Trent Fowler
Year,Count
2015,3
2014,2
2013,1
2011,1
2005,1
2003,1
Search query: Mojca Jez
Year,Count
2022,1
2021,1
2020,1
2018,1
2017,2
2015,2
2014,1
2013,1
2012,1
Search query: Zhenni Zhang
Year,Count
2021,4
2019,4
2018,3
2017,1
2016,7
2015,4
2014,3
2012,1
2011,1
2006,2
2004,2
2003,1
Search query: Christophe Broca
Year,Count
2020,4
2019,2
2018,1
2014,2
2010,1
2009,3
2008,1
2006,1
2005,3
2004,4
2003,1
Search query: Sylwia Flis
Year,Count
2021,1
2020,1
2019,2
2018,1
2017,1
2014,1
2013,3
2012,2
2010,1
2009,4
Search query: Sreedevi Avasarala
Year,Count
2020,2
2019,1
2018,1
2017,2
2015,3
2014,2
2013,4
2012,1
2009,1
2006,1
Search query: Takaharu Nakayoshi
Year,Count
2021,1
2020,4
2019,3
2018,3
2017,3
2016,5
2015,4
2014,1
2013,1
2012,3
2011,2
2010,1
2004,1
Search query: Yuri Churin
Year,Count
2021,2
2020,4
2019,2
2017,1
2016,2
2015,3
2014,2
2013,1
2012,2
2011,2
2010,3
2009,1
2006,2
2005,1
2003,2
2002,1
Search query: Chuan Li
Year,Count
2022,17
2021,98
2020,74
2019,89
2018,54
2017,66
2016,67
2015,61
2014,59
2013,59
2012,48
2011,25
2010,20
2009,18
2008,19
2007,17
2006,9
2005,11
2004,10
2003,9
2002,5
1999,1
1997,1
Search query: Gail Doughton
Year,Count
2021,1
2015,1
2014,2
2012,1
Search query: Liliana O. Rocha
Year,Count
2021,2
2020,3
2019,5
2018,1
2017,2
2016,2
2015,3
2014,1
2009,1
Search query: Prabuddha Dey
Year,Count
2020,2
2019,1
2018,1
2017,1
2016,1
2015,2
2014,3
2013,2
2011,1
2010,1
2007,1
Search query: Xiaomei Ge
Year,Count
2018,3
2017,1
2014,1
2013,2
2012,2
2011,2
2009,1
2008,1
2007,2
2004,1
Search query: Xudong Shi
Year,Count
2022,1
2021,9
2020,8
2019,6
2018,6
2017,8
2016,5
2015,3
2014,5
2013,6
2012,6
2011,2
2010,1
2009,1
2008,1
2007,3
2006,1
2004,1
2003,1
2002,1
Search query: Yushen Jiang
Year,Count
2021,1
2020,1
2019,1
2015,1
2014,1
Search query: Ambrish Kumar
Year,Count
2022,1
2021,9
2020,2
2019,3
2018,1
2017,1
2016,4
2015,3
2014,3
2013,3
2012,6
2011,2
2010,2
2008,1
2007,1
2005,3
Search query: Rounak Nassirpour
Year,Count
2021,1
2016,3
2015,1
2014,1
2013,2
2010,2
2007,2
2003,1
2002,2
Search query: Bo Gao
Year,Count
2022,25
2021,134
2020,107
2019,113
2018,95
2017,82
2016,83
2015,78
2014,86
2013,71
2012,54
2011,37
2010,36
2009,25
2008,36
2007,18
2006,16
2005,15
2004,10
2003,8
2002,5
1999,1
1995,1
1986,1
Search query: Yang Liu
Year,Count
2022,501
2021,2421
2020,2172
2019,1790
2018,1459
2017,1213
2016,1097
2015,1020
2014,907
2013,676
2012,551
2011,411
2010,317
2009,234
2008,188
2007,164
2006,147
2005,106
2004,78
2003,55
2002,40
1998,1
1997,1
1996,1
Search query: Manasa K. Nayak
Year,Count
2022,1
2021,3
2020,3
2019,3
2018,2
2017,1
2016,3
2015,2
2014,2
2013,2
2012,1
2011,6
2010,1
Search query: Wasia Rizwani
Year,Count
2015,2
2014,2
2012,2
2011,2
2009,4
2005,1
Search query: Shiuan Wang
Year,Count
2018,1
2015,2
2014,2
2011,2
2010,1
Search query: Apiruck Watthanasurorot
Year,Count
2016,3
2015,3
2014,1
2013,3
2012,1
2011,3
2010,2
Search query: Dawn E. Watkins-Chow
Year,Count
2022,1
2021,2
2020,1
2019,3
2018,2
2017,4
2015,4
2014,2
2013,3
2012,1
2010,1
2009,1
2008,3
2007,1
Search query: Erica P. Homan
Year,Count
2021,1
2019,1
2018,1
2017,1
2016,3
2015,1
2014,3
2011,1
2010,1
2007,1
Search query: Natalia Lopez-del Hoyo
Year,Count
2014,1
2012,1
Search query: Cathleen D. Valentine
Year,Count
2016,1
2014,1
2013,2
2012,2
2011,2
2008,1
2007,2
2006,1
Search query: Jianuo Liu
Year,Count
2021,1
2018,1
2017,5
2016,5
2014,1
2013,4
2012,1
2011,5
2010,5
2009,3
2008,6
2007,3
2006,1
2005,1
2004,1
2003,1
2002,1
Search query: Shipan Dai
Year,Count
2016,1
2013,1
2012,2
2011,2
2010,3
2009,1
2008,3
2007,2
2005,1
2004,2
2002,1
Search query: Vicente Ramrez
Year,Count
2022,2
2021,4
2020,3
2019,2
2018,5
2017,3
2016,2
2015,1
2013,2
2011,4
2010,1
2009,1
2005,2
Search query: Haitao Wei
Year,Count
2022,1
2021,5
2020,3
2019,3
2018,2
2017,3
2016,2
2015,2
2014,7
2013,1
2012,1
2010,1
2009,3
2008,1
Search query: Meleri Jones
Year,Count
2022,2
2021,6
2020,9
2019,2
2018,1
2017,2
2015,1
2014,2
2013,1
2009,2
2008,2
2005,2
2004,2
